
Note: No compatibility mode selected!


Circuit: * hibiki i3c_tx_0p125ma_tx through cascaded wmodel baseline rlgc traces

binary raw file "C:\Users\simom\Desktop\Projects\IBIS_Comparison\results\hibiki_i3c_tx_0p125ma_wmodel_cascade_ngspice_2026-05-29\raw\hibiki_wmodel_cascade.raw"
Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
No. of Data Columns : 8

Initial Transient Solution
--------------------------

Node                                   Voltage
ch_trace02_56_rl                   2.08877e-06
ch_trace02_56                      2.08877e-06
ch_trace02_57_rl                   2.08876e-06
ch_trace02_57                      2.08876e-06
ch_trace02_58_rl                   2.08875e-06
ch_trace02_58                      2.08875e-06
ch_trace02_59_rl                   2.08873e-06
ch_trace02_59                      2.08873e-06
ch_trace02_60_rl                   2.08872e-06
ch_trace02_60                      2.08872e-06
ch_trace02_61_rl                   2.08871e-06
ch_trace02_61                      2.08871e-06
ch_trace02_62_rl                    2.0887e-06
ch_trace02_62                       2.0887e-06
ch_trace02_63_rl                   2.08869e-06
ch_trace02_63                      2.08869e-06
ch_trace02_64_rl                   2.08868e-06
ch_trace02_64                      2.08868e-06
ch_trace02_65_rl                   2.08867e-06
ch_trace02_65                      2.08867e-06
ch_trace02_66_rl                   2.08866e-06
ch_trace02_66                      2.08866e-06
ch_trace02_67_rl                   2.08865e-06
ch_trace02_67                      2.08865e-06
ch_trace02_68_rl                   2.08864e-06
ch_trace02_68                      2.08864e-06
ch_trace02_69_rl                   2.08863e-06
ch_trace02_69                      2.08863e-06
ch_trace02_70_rl                   2.08861e-06
ch_trace02_70                      2.08861e-06
ch_trace02_71_rl                    2.0886e-06
ch_trace02_71                       2.0886e-06
ch_trace02_72_rl                   2.08859e-06
ch_trace02_72                      2.08859e-06
ch_trace02_73_rl                   2.08858e-06
ch_trace02_73                      2.08858e-06
ch_trace02_74_rl                   2.08857e-06
ch_trace02_74                      2.08857e-06
ch_trace02_75_rl                   2.08856e-06
ch_trace02_75                      2.08856e-06
ch_trace02_76_rl                   2.08855e-06
ch_trace02_76                      2.08855e-06
ch_trace02_77_rl                   2.08854e-06
ch_trace02_77                      2.08854e-06
ch_trace02_78_rl                   2.08853e-06
ch_trace02_78                      2.08853e-06
ch_trace02_79_rl                   2.08852e-06
ch_trace02_79                      2.08852e-06
ch_trace02_80_rl                   2.08851e-06
after_trace02                      2.08851e-06
ch_trace03_1_rl                    2.08849e-06
ch_trace03_1                       2.08849e-06
ch_trace03_2_rl                    2.08848e-06
ch_trace03_2                       2.08848e-06
ch_trace03_3_rl                    2.08847e-06
ch_trace03_3                       2.08847e-06
ch_trace03_4_rl                    2.08846e-06
ch_trace03_4                       2.08846e-06
ch_trace03_5_rl                    2.08845e-06
ch_trace03_5                       2.08845e-06
ch_trace03_6_rl                    2.08844e-06
ch_trace03_6                       2.08844e-06
ch_trace03_7_rl                    2.08843e-06
ch_trace03_7                       2.08843e-06
ch_trace03_8_rl                    2.08842e-06
ch_trace03_8                       2.08842e-06
ch_trace03_9_rl                    2.08841e-06
ch_trace03_9                       2.08841e-06
ch_trace03_10_rl                    2.0884e-06
ch_trace03_10                       2.0884e-06
ch_trace03_11_rl                   2.08839e-06
ch_trace03_11                      2.08839e-06
ch_trace03_12_rl                   2.08837e-06
ch_trace03_12                      2.08837e-06
ch_trace03_13_rl                   2.08836e-06
ch_trace03_13                      2.08836e-06
ch_trace03_14_rl                   2.08835e-06
ch_trace03_14                      2.08835e-06
ch_trace03_15_rl                   2.08834e-06
ch_trace03_15                      2.08834e-06
ch_trace03_16_rl                   2.08833e-06
ch_trace03_16                      2.08833e-06
ch_trace03_17_rl                   2.08832e-06
ch_trace03_17                      2.08832e-06
ch_trace03_18_rl                   2.08831e-06
ch_trace03_18                      2.08831e-06
ch_trace03_19_rl                    2.0883e-06
ch_trace03_19                       2.0883e-06
ch_trace03_20_rl                   2.08829e-06
ch_trace03_20                      2.08829e-06
ch_trace03_21_rl                   2.08828e-06
ch_trace03_21                      2.08828e-06
ch_trace03_22_rl                   2.08827e-06
ch_trace03_22                      2.08827e-06
ch_trace03_23_rl                   2.08825e-06
ch_trace03_23                      2.08825e-06
ch_trace03_24_rl                   2.08824e-06
ch_trace03_24                      2.08824e-06
ch_trace03_25_rl                   2.08823e-06
ch_trace03_25                      2.08823e-06
ch_trace03_26_rl                   2.08822e-06
ch_trace03_26                      2.08822e-06
ch_trace03_27_rl                   2.08821e-06
ch_trace03_27                      2.08821e-06
ch_trace03_28_rl                    2.0882e-06
ch_trace03_28                       2.0882e-06
ch_trace03_29_rl                   2.08819e-06
ch_trace03_29                      2.08819e-06
ch_trace03_30_rl                   2.08818e-06
ch_trace03_30                      2.08818e-06
ch_trace03_31_rl                   2.08817e-06
ch_trace03_31                      2.08817e-06
ch_trace03_32_rl                   2.08816e-06
ch_trace03_32                      2.08816e-06
ch_trace03_33_rl                   2.08815e-06
ch_trace03_33                      2.08815e-06
ch_trace03_34_rl                   2.08813e-06
ch_trace03_34                      2.08813e-06
ch_trace03_35_rl                   2.08812e-06
ch_trace03_35                      2.08812e-06
ch_trace03_36_rl                   2.08811e-06
ch_trace03_36                      2.08811e-06
ch_trace03_37_rl                    2.0881e-06
ch_trace03_37                       2.0881e-06
ch_trace03_38_rl                   2.08809e-06
ch_trace03_38                      2.08809e-06
ch_trace03_39_rl                   2.08808e-06
ch_trace03_39                      2.08808e-06
ch_trace03_40_rl                   2.08807e-06
ch_trace03_40                      2.08807e-06
ch_trace03_41_rl                   2.08806e-06
ch_trace03_41                      2.08806e-06
ch_trace03_42_rl                   2.08805e-06
ch_trace03_42                      2.08805e-06
ch_trace03_43_rl                   2.08804e-06
ch_trace03_43                      2.08804e-06
ch_trace03_44_rl                   2.08803e-06
ch_trace03_44                      2.08803e-06
ch_trace03_45_rl                   2.08801e-06
ch_trace03_45                      2.08801e-06
ch_trace03_46_rl                     2.088e-06
ch_trace03_46                        2.088e-06
ch_trace03_47_rl                   2.08799e-06
ch_trace03_47                      2.08799e-06
ch_trace03_48_rl                   2.08798e-06
ch_trace03_48                      2.08798e-06
ch_trace03_49_rl                   2.08797e-06
ch_trace03_49                      2.08797e-06
ch_trace03_50_rl                   2.08796e-06
ch_trace03_50                      2.08796e-06
ch_trace03_51_rl                   2.08795e-06
ch_trace03_51                      2.08795e-06
ch_trace03_52_rl                   2.08794e-06
ch_trace03_52                      2.08794e-06
ch_trace03_53_rl                   2.08793e-06
ch_trace03_53                      2.08793e-06
