time_ns,v_typ,v_min,v_max
3.003,3.286,3.144,3.45
3.009,3.2865,3.144,3.45
3.015,3.287,3.144,3.45
3.021,3.287,3.144,3.45
3.027,3.287,3.144,3.45
3.033,3.287,3.144,3.45
3.039,3.287,3.144,3.45
3.045,3.287,3.144,3.451
3.0511,3.287,3.144,3.451
3.0571,3.287,3.144,3.451
3.0631,3.287,3.144,3.451
3.0691,3.287,3.144,3.451
3.0751,3.287,3.144,3.451
3.0811,3.287,3.144,3.451
3.0871,3.287,3.144,3.451
3.0931,3.287,3.144,3.451666667
3.0991,3.287666667,3.144,3.452
3.1051,3.288,3.143333333,3.452
3.1111,3.288,3.143,3.452
3.1171,3.288,3.143,3.452
3.1231,3.288,3.143,3.452
3.1291,3.288,3.143,3.452
3.1351,3.288,3.143,3.452
3.1411,3.288,3.143,3.452333333
3.1471,3.288,3.143,3.453
3.1532,3.288,3.143,3.453
3.1592,3.288,3.143,3.453
3.1652,3.288,3.143,3.453
3.1712,3.288,3.143,3.453
3.1772,3.288,3.143,3.453
3.1832,3.288,3.143,3.453
3.1892,3.288,3.143,3.453
3.1952,3.288166667,3.143,3.453
3.2012,3.289,3.143,3.454
3.2072,3.289,3.143,3.454
3.2132,3.289,3.143,3.454
3.2192,3.289,3.143,3.454
3.2252,3.289,3.143,3.454
3.2312,3.289,3.143,3.454
3.2372,3.289,3.143,3.454
3.2432,3.289,3.143,3.454
3.2492,3.289,3.143,3.454
3.2553,3.289,3.143,3.454
3.2613,3.289,3.143,3.4545
3.2673,3.289,3.143,3.455
3.2733,3.289,3.142666667,3.455
3.2793,3.289,3.142,3.455
3.2853,3.289,3.142,3.455
3.2913,3.289,3.142,3.455
3.2973,3.289833333,3.142,3.455
3.3033,3.29,3.142,3.455
3.3093,3.29,3.142,3.455
3.3153,3.29,3.142,3.455
3.3213,3.29,3.142,3.455
3.3273,3.29,3.142,3.456
3.3333,3.29,3.142,3.456
3.3393,3.29,3.142,3.456
3.3453,3.29,3.142,3.456
3.3514,3.29,3.142,3.456
3.3574,3.29,3.142,3.456
3.3634,3.29,3.142,3.456
3.3694,3.29,3.142,3.456
3.3754,3.29,3.142,3.456
3.3814,3.29,3.142,3.456
3.3874,3.29,3.142,3.456666667
3.3934,3.29,3.142,3.457
3.3994,3.29,3.142,3.457
3.4054,3.29,3.142,3.457
3.4114,3.290333333,3.142,3.457
3.4174,3.291,3.142,3.457
3.4234,3.291,3.142,3.457
3.4294,3.291,3.142,3.457
3.4354,3.291,3.142,3.457
3.4414,3.291,3.142,3.457
3.4474,3.291,3.142,3.457166667
3.4535,3.291,3.142,3.458
3.4595,3.291,3.142,3.458
3.4655,3.291,3.142,3.458
3.4715,3.291,3.142,3.458
3.4775,3.291,3.142,3.458
3.4835,3.291,3.142,3.458
3.4895,3.291,3.142,3.458
3.4955,3.291,3.142,3.458
3.5015,3.291,3.142,3.458
3.5075,3.291,3.141,3.458
3.5135,3.291,3.141,3.458
3.5195,3.291,3.141,3.458
