case,label,direction,edge_index,input_crossing_ns,context,output_50_delay_ps,slew_20_80_ps
ngspice_pybis,ngspice + pybis,fall,64,700.1,11->01,1570.5472844382223,322.7996194284522
ngspice_pybis,ngspice + pybis,rise,65,705.0999999999999,10->11,2938.834817605809,1034.37141114707
ngspice_pybis,ngspice + pybis,fall,66,730.1,11->00,1570.5472844334577,322.7996194282405
ngspice_pybis,ngspice + pybis,rise,67,740.1,00->11,2938.8343160517666,1034.372300246532
ngspice_pybis,ngspice + pybis,fall,68,760.1,11->01,1570.5472844346225,322.7996194283464
ngspice_pybis,ngspice + pybis,rise,69,765.1,10->10,2938.8348176081386,1034.3714111471756
ngspice_pybis,ngspice + pybis,fall,70,770.0999999999999,01->01,1570.1875377569422,322.7083879443938
ngspice_pybis,ngspice + pybis,rise,71,775.1,10->11,2938.8348169268065,1034.3714107914218
ngspice_pybis,ngspice + pybis,fall,72,790.0999999999999,11->00,1570.547284436634,322.7996194282405
ngspice_pybis,ngspice + pybis,rise,73,810.1,00->11,2938.8343160516606,1034.3723002391205
ngspice_pybis,ngspice + pybis,fall,74,820.1,11->01,1570.5472728523998,322.79962024086274
