case,xyce_ref_rc,xyce_ref_timed_out,xyce_ref_wall_s,xyce_pybis_rc,xyce_pybis_timed_out,xyce_pybis_wall_s,xyce_ref_output,xyce_pybis_output,pre_high,low_gap,post_high,length_cm,loss_scale,n_sections,target_rise_ns,target_fall_ns,py_rise_max_v,py_rise_max_ns,ref_rise_max_v,ref_rise_max_ns,rise_maxabs_py_minus_ref_v,rise_maxabs_py_minus_ref_abs_v,rise_maxabs_ns,py_tx_rise_max_v,ref_tx_rise_max_v,py_fall_min_v,ref_fall_min_v,fall_maxabs_py_minus_ref_v,fall_maxabs_py_minus_ref_abs_v,fall_maxabs_ns
hist_h3_g2_p3_30cm_loss5,0,False,0.1477222442626953,0,False,3.24495267868042,True,True,3,2,3,30,5.0,10,18.100000000000005,24.100000000000005,0.129264519,18.110000000000003,0.0896197614,18.22,0.16277167749997026,0.16277167749997026,18.729999999999677,0.105722846,0.557370958,1.3343049,1.39593919,-0.08083532999999932,0.08083532999999932,24.100000000000005
hist_h3_g2_p4_30cm_loss5,0,False,0.1509690284729004,0,False,3.5154409408569336,True,True,3,2,4,30,5.0,10,18.100000000000005,26.1,0.129264519,18.110000000000003,0.0896197614,18.22,0.16277167749997026,0.16277167749997026,18.729999999999677,0.105722846,0.557370958,1.38514226,1.41653158,-0.05956951999999949,0.05956951999999949,26.709999999999685
hist_h3_g3_p1_30cm_loss5,0,False,0.1449122428894043,0,False,2.9716930389404297,True,True,3,3,1,30,5.0,10,20.1,22.1,0.0166783955,20.86,7.67733162e-05,20.529999999999998,0.0561023611999981,0.0561023611999981,20.88999999999959,0.0659466561,0.656960551,-0.0175530801,-0.0247150042,-0.24420931919943897,0.24420931919943897,23.497999999999276
hist_h3_g3_p2_30cm_loss5,0,False,0.1446847915649414,0,False,3.287534236907959,True,True,3,3,2,30,5.0,10,20.1,24.100000000000005,0.0166783955,20.86,7.67733162e-05,20.529999999999998,0.0561023611999981,0.0561023611999981,20.88999999999959,0.0659466561,0.656960551,0.2821557,1.03654635,-0.7581910069999988,0.7581910069999988,24.100000000000005
hist_h3_g3_p3_30cm_loss5,0,False,0.1495523452758789,0,False,3.518925905227661,True,True,3,3,3,30,5.0,10,20.1,26.1,0.0166783955,20.86,7.67733162e-05,20.529999999999998,0.0561023611999981,0.0561023611999981,20.88999999999959,0.0659466561,0.656960551,1.34415901,1.38789721,-0.05538562999999885,0.05538562999999885,26.1
hist_h3_g3_p4_30cm_loss5,0,False,0.15201878547668457,0,False,3.790961742401123,True,True,3,3,4,30,5.0,10,20.1,28.100000000000005,0.0166783955,20.86,7.67733162e-05,20.529999999999998,0.0561023611999981,0.0561023611999981,20.88999999999959,0.0659466561,0.656960551,1.38215277,1.42346107,-0.0669642899999976,0.0669642899999976,28.829999999999625
hist_h3_g4_p1_30cm_loss5,0,False,0.1463792324066162,0,False,3.277334213256836,True,True,3,4,1,30,5.0,10,22.1,24.100000000000005,0.0349685998,22.32,0.0153513773,22.11,0.05425012969999647,0.05425012969999647,22.359999999999868,0.0453149347,0.767941036,-0.0162090711,-0.01516357,-0.27225319545937243,0.27225319545937243,25.497999999999276
hist_h3_g4_p2_30cm_loss5,0,False,0.15168476104736328,0,False,3.5196805000305176,True,True,3,4,2,30,5.0,10,22.1,26.1,0.0349685998,22.32,0.0153513773,22.11,0.05425012969999647,0.05425012969999647,22.359999999999868,0.0453149347,0.767941036,0.29565782,1.01461049,-0.7201384439999994,0.7201384439999994,26.1
hist_h3_g4_p3_30cm_loss5,0,False,0.15273380279541016,0,False,3.7659294605255127,True,True,3,4,3,30,5.0,10,22.1,28.100000000000005,0.0349685998,22.32,0.0153513773,22.11,0.05425012969999647,0.05425012969999647,22.359999999999868,0.0453149347,0.767941036,1.34785919,1.3974105,-0.06057208999999886,0.06057208999999886,28.100000000000005
hist_h3_g4_p4_30cm_loss5,0,False,0.1593327522277832,0,False,3.960355281829834,True,True,3,4,4,30,5.0,10,22.1,30.100000000000005,0.0349685998,22.32,0.0153513773,22.11,0.05425012969999647,0.05425012969999647,22.359999999999868,0.0453149347,0.767941036,1.38383544,1.41656906,-0.05610071999999788,0.05610071999999788,30.82000000000082
hist_h4_g1_p1_30cm_loss5,0,False,0.13448500633239746,0,False,2.7297587394714355,True,True,4,1,1,30,5.0,10,18.100000000000005,20.1,1.4368169,18.419999999999998,1.33741819,18.110000000000003,1.2196260994999728,1.2196260994999728,18.83999999999962,0.0721280814,0.846442673,-0.0457079677,-0.0577407928,-0.3312665118991466,0.3312665118991466,21.497999999999273
hist_h4_g1_p2_30cm_loss5,0,False,0.13959050178527832,0,False,3.0883545875549316,True,True,4,1,2,30,5.0,10,18.100000000000005,22.1,1.4368169,18.419999999999998,1.33741819,18.110000000000003,1.2196260994999728,1.2196260994999728,18.83999999999962,0.0721280814,0.846442673,0.31960772,1.03137075,-0.7194183409999975,0.7194183409999975,22.1
hist_h4_g1_p3_30cm_loss5,0,False,0.14482903480529785,0,False,3.3639543056488037,True,True,4,1,3,30,5.0,10,18.100000000000005,24.100000000000005,1.4368169,18.419999999999998,1.33741819,18.110000000000003,1.2196260994999728,1.2196260994999728,18.83999999999962,0.0721280814,0.846442673,1.32531186,1.40045139,-0.08253817999999935,0.08253817999999935,24.100000000000005
hist_h4_g1_p4_30cm_loss5,0,False,0.15457820892333984,0,False,3.642784357070923,True,True,4,1,4,30,5.0,10,18.100000000000005,26.1,1.4368169,18.419999999999998,1.33741819,18.110000000000003,1.2196260994999728,1.2196260994999728,18.83999999999962,0.0721280814,0.846442673,1.3804055,1.41954622,-0.06483457999999587,0.06483457999999587,26.79999999999964
hist_h4_g2_p1_30cm_loss5,0,False,0.13924741744995117,0,False,2.9254071712493896,True,True,4,2,1,30,5.0,10,20.1,22.1,0.152266091,20.1,0.0836569802,20.23,0.1614249273999937,0.1614249273999937,20.76999999999965,0.106469772,0.550552211,-0.036748688,-0.0315990347,-0.26082129398740356,0.26082129398740356,23.497999999999276
