case,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui1_len10cm_loss1,fall,8,11->00,31.10042542867908,935.4573940026345,182.9747696551118
ui1_len10cm_loss1,rise,9,00->11,35.100448294048086,2264.9324367958384,nan
ui1_len10cm_loss1,fall,10,11->01,37.10042469887656,888.1366304798403,-3856.402398327905
ui1_len10cm_loss1,rise,11,10->11,38.10044244637237,2253.5171370948133,1245.211257368678
ui1_len10cm_loss1,fall,12,11->01,41.100425422294016,935.1474531819152,183.15313650094913
ui1_len10cm_loss1,rise,13,10->10,42.100447761159465,nan,nan
ui1_len10cm_loss1,fall,14,01->00,43.10042032209435,4887.6275496778235,nan
ui1_len10cm_loss1,rise,15,00->11,45.100446390457925,2228.9602926090074,nan
ui1_len10cm_loss1,fall,16,11->00,47.100424691213256,887.6231805589197,nan
ui1_len10cm_loss1,rise,17,00->10,50.100448553819156,nan,nan
ui1_len10cm_loss1,fall,18,01->01,51.100417389058336,nan,nan
ui1_len10cm_loss1,rise,19,10->10,52.100448011873084,4244.655594576936,nan
ui1_len10cm_loss1,fall,20,01->01,53.100419220205175,3886.9621505556743,nan
ui1_len10cm_loss1,rise,21,10->11,54.10044674588728,2244.6568605627376,nan
ui1_len10cm_loss1,fall,22,11->00,56.10042478339081,886.9565873700466,nan
ui1_len10cm_loss1,rise,23,00->10,61.10044792195684,4240.840584734869,1257.3945714222525
ui1_len10cm_loss1,fall,24,01->01,62.10041741886307,nan,nan
ui1_len10cm_loss1,rise,25,10->11,63.100447727389934,2240.8407793017727,1257.3945714222525
ui1_len10cm_loss1,fall,26,11->00,67.10042581146132,951.5090023412519,173.66714906487667
ui1_len10cm_loss1,rise,27,00->11,70.10044837958046,2258.18271017273,927.3147165942473
ui1_len10cm_loss1,fall,28,11->01,73.10042558378272,935.1444706409873,178.89059972284753
ui1_len10cm_loss1,rise,29,10->11,74.10044819224187,2244.2685785012645,nan
ui1_len10cm_loss1,fall,30,11->01,76.10042471323364,886.8385190229006,nan
ui1_len10cm_loss1,rise,31,10->11,77.10044391592089,2245.842521688679,nan
ui1_len10cm_loss1,fall,32,11->00,79.10042472549632,886.8073680156998,nan
ui1_len10cm_loss1,rise,33,00->10,81.10044544724387,nan,nan
ui1_len10cm_loss1,fall,34,01->00,82.10041746907382,nan,nan
ui1_len10cm_loss1,rise,35,00->10,84.10044748461499,nan,nan
ui1_len10cm_loss1,fall,36,01->01,85.10041741597148,nan,nan
ui1_len10cm_loss1,rise,37,10->10,86.10044805163054,nan,nan
ui1_len10cm_loss1,fall,38,01->00,87.10041942060529,nan,nan
ui1_len10cm_loss1,rise,39,00->10,89.10044697831097,nan,nan
ui1_len10cm_loss1,fall,40,01->00,90.10041743733005,nan,nan
ui1_len10cm_loss1,rise,41,00->10,94.10044809203698,nan,nan
ui1_len10cm_loss1,fall,42,01->00,95.10041742558371,nan,nan
ui1_len10cm_loss1,rise,43,00->11,97.10044785057008,2250.1485490049386,943.1743145966853
ui1_len10cm_loss1,fall,44,11->00,100.10042558578289,934.7874312161186,179.33898426652516
ui1_len10cm_loss1,rise,45,00->10,102.10044526070001,4235.901814437608,nan
ui1_len10cm_loss1,fall,46,01->01,103.10041747286115,3886.65529859307,nan
ui1_len10cm_loss1,rise,47,10->11,104.10044933556172,2235.8977395758902,nan
ui1_len10cm_loss1,fall,48,11->01,106.10042473071752,886.6480407367064,nan
ui1_len10cm_loss1,rise,49,10->10,107.10044352480638,nan,nan
ui1_len10cm_loss1,fall,50,01->00,108.10042018552805,nan,nan
ui1_len10cm_loss1,rise,51,00->10,111.10044812421131,nan,nan
ui1_len10cm_loss1,fall,52,01->00,112.10041740316392,nan,nan
ui1_len10cm_loss1,rise,53,00->11,115.1004481886662,2263.38870312646,nan
ui1_len10cm_loss1,fall,54,11->00,117.10042470614937,888.0786749214303,nan
ui1_len10cm_loss1,rise,55,00->11,119.10044565706582,2231.4982194886784,nan
ui1_len10cm_loss1,fall,56,11->01,121.10042465960207,887.0819545905964,nan
ui1_len10cm_loss1,rise,57,10->10,122.10044349073678,nan,nan
ui1_len10cm_loss1,fall,58,01->01,123.10042012748288,nan,nan
ui1_len10cm_loss1,rise,59,10->10,124.10044656573032,nan,nan
ui1_len10cm_loss1,fall,60,01->01,125.10042003832076,nan,nan
ui1_len10cm_loss1,rise,61,10->10,126.1004459340011,nan,nan
ui1_len10cm_loss1,fall,62,01->00,127.1004199816753,nan,nan
ui1_len10cm_loss1,rise,63,00->11,134.10044801626987,2264.6633718375338,921.6565500377678
ui1_len10cm_loss1,fall,64,11->01,140.10042589866396,957.7099488874723,172.01851743524423
ui1_len10cm_loss1,rise,65,10->11,141.10044951155805,2236.4402730948327,1241.8596928812858
ui1_len10cm_loss1,fall,66,11->00,146.10042584921942,956.4568365863164,172.51452609268784
ui1_len10cm_loss1,rise,67,00->11,148.1004451981882,2236.3199210092184,1019.6098166386287
ui1_len10cm_loss1,fall,68,11->01,152.1004257685984,951.646945221093,173.26409276616403
ui1_len10cm_loss1,rise,69,10->10,153.1004494376462,4246.806157258849,3255.546758978744
ui1_len10cm_loss1,fall,70,01->01,154.1004203746104,4935.4641926549175,-3945.354002347645
ui1_len10cm_loss1,rise,71,10->11,155.10044682893107,2246.808765973984,1246.1131167703174
ui1_len10cm_loss1,fall,72,11->00,158.10042542846915,935.4591387961675,182.97559345969586
ui1_len10cm_loss1,rise,73,00->11,162.100448293878,2264.934505853502,nan
ui1_len10cm_loss1,fall,74,11->01,164.10042469899489,888.1359449464234,-3856.4019285763097
ui1_len10cm_loss1,rise,75,10->11,165.1004424469791,2253.5148359011596,1245.2092543909132
ui1_len10cm_loss1,fall,76,11->01,168.10042542228453,935.1475598028625,183.1525553066388
ui1_len10cm_loss1,rise,77,10->10,169.10044776119065,nan,nan
ui1_len10cm_loss1,fall,78,01->00,170.1004203220694,4887.627485228549,nan
ui1_len10cm_loss1,rise,79,00->11,172.10044639047038,2228.961035447274,nan
ui1_len10cm_loss1,fall,80,11->00,174.10042469120324,887.6231160946897,nan
